ID,RISK_sum_max6,avg_ANXIETY,Concat,AC_c_down1or2_CP,ThinksFreq_CP,DesiresCloseness_CP,Female,Needstobelong,CSWcontingent_on_academics,IntrinsicGroup,AppearanceGroup,CompetenceGroup
1.00,0.00,1.00,001000,0.00,0.00,1.00,0.00,0.00,0.00,1,0,0
11.00,0.00,2.00,001000,0.00,0.00,1.00,0.00,0.00,0.00,1,0,0
87.00,0.00,1.00,001000,0.00,0.00,1.00,0.00,0.00,0.00,0,1,0
136.00,0.00,4.00,001000,0.00,0.00,1.00,0.00,0.00,0.00,0,0,1
80.00,1.00,1.50,001001,0.00,0.00,1.00,0.00,0.00,1.00,0,1,0
138.00,1.00,1.50,001001,0.00,0.00,1.00,0.00,0.00,1.00,0,0,1
163.00,2.00,5.00,001001,0.00,0.00,1.00,0.00,0.00,1.00,0,0,1
88.00,1.00,6.00,001010,0.00,0.00,1.00,0.00,1.00,0.00,0,1,0
92.00,1.00,5.00,001010,0.00,0.00,1.00,0.00,1.00,0.00,0,1,0
148.00,1.00,2.00,001010,0.00,0.00,1.00,0.00,1.00,0.00,0,0,1
101.00,2.00,6.00,001011,0.00,0.00,1.00,0.00,1.00,1.00,0,1,0
167.00,3.00,2.50,001011,0.00,0.00,1.00,0.00,1.00,1.00,0,0,1
2.00,1.00,2.50,001100,0.00,0.00,1.00,1.00,0.00,0.00,1,0,0
17.00,1.00,1.00,001100,0.00,0.00,1.00,1.00,0.00,0.00,1,0,0
29.00,1.00,2.00,001100,0.00,0.00,1.00,1.00,0.00,0.00,1,0,0
82.00,1.00,4.00,001100,0.00,0.00,1.00,1.00,0.00,0.00,0,1,0
97.00,1.00,3.50,001100,0.00,0.00,1.00,1.00,0.00,0.00,0,1,0
171.00,2.00,5.00,001100,0.00,0.00,1.00,1.00,0.00,0.00,0,0,1
33.00,3.00,1.50,001101,0.00,0.00,1.00,1.00,0.00,1.00,1,0,0
133.00,2.00,4.50,001101,0.00,0.00,1.00,1.00,0.00,1.00,0,0,1
158.00,2.00,6.00,001101,0.00,0.00,1.00,1.00,0.00,1.00,0,0,1
14.00,2.00,4.50,001110,0.00,0.00,1.00,1.00,1.00,0.00,1,0,0
15.00,2.00,4.00,001110,0.00,0.00,1.00,1.00,1.00,0.00,1,0,0
27.00,2.00,4.00,001110,0.00,0.00,1.00,1.00,1.00,0.00,1,0,0
38.00,3.00,2.00,001110,0.00,0.00,1.00,1.00,1.00,0.00,1,0,0
74.00,2.00,4.00,001110,0.00,0.00,1.00,1.00,1.00,0.00,0,1,0
155.00,2.00,2.50,001110,0.00,0.00,1.00,1.00,1.00,0.00,0,0,1
161.00,3.00,5.00,001110,0.00,0.00,1.00,1.00,1.00,0.00,0,0,1
44.00,4.00,7.00,001111,0.00,0.00,1.00,1.00,1.00,1.00,1,0,0
93.00,3.00,4.50,001111,0.00,0.00,1.00,1.00,1.00,1.00,0,1,0
154.00,3.00,3.00,001111,0.00,0.00,1.00,1.00,1.00,1.00,0,0,1
182.00,4.00,1.00,001111,0.00,0.00,1.00,1.00,1.00,1.00,0,0,1
10.00,1.00,5.00,011000,0.00,1.00,1.00,0.00,0.00,0.00,1,0,0
94.00,1.00,6.00,011000,0.00,1.00,1.00,0.00,0.00,0.00,0,1,0
126.00,2.00,3.50,011000,0.00,1.00,1.00,0.00,0.00,0.00,0,1,0
189.00,2.00,5.50,011000,0.00,1.00,1.00,0.00,0.00,0.00,0,0,1
32.00,3.00,5.50,011001,0.00,1.00,1.00,0.00,0.00,1.00,1,0,0
78.00,2.00,4.00,011001,0.00,1.00,1.00,0.00,0.00,1.00,0,1,0
90.00,2.00,5.50,011001,0.00,1.00,1.00,0.00,0.00,1.00,0,1,0
107.00,3.00,2.00,011001,0.00,1.00,1.00,0.00,0.00,1.00,0,1,0
191.00,3.00,5.50,011001,0.00,1.00,1.00,0.00,0.00,1.00,0,0,1
19.00,2.00,3.00,011010,0.00,1.00,1.00,0.00,1.00,0.00,1,0,0
66.00,3.00,5.50,011010,0.00,1.00,1.00,0.00,1.00,0.00,1,0,0
146.00,2.00,1.00,011010,0.00,1.00,1.00,0.00,1.00,0.00,0,0,1
160.00,2.00,1.00,011010,0.00,1.00,1.00,0.00,1.00,0.00,0,0,1
178.00,3.00,5.00,011010,0.00,1.00,1.00,0.00,1.00,0.00,0,0,1
193.00,3.00,1.00,011010,0.00,1.00,1.00,0.00,1.00,0.00,0,0,1
12.00,3.00,5.50,011011,0.00,1.00,1.00,0.00,1.00,1.00,1,0,0
36.00,4.00,1.50,011011,0.00,1.00,1.00,0.00,1.00,1.00,1,0,0
37.00,4.00,3.50,011011,0.00,1.00,1.00,0.00,1.00,1.00,1,0,0
41.00,4.00,4.00,011011,0.00,1.00,1.00,0.00,1.00,1.00,1,0,0
51.00,4.00,2.00,011011,0.00,1.00,1.00,0.00,1.00,1.00,1,0,0
105.00,4.00,5.50,011011,0.00,1.00,1.00,0.00,1.00,1.00,0,1,0
118.00,4.00,1.00,011011,0.00,1.00,1.00,0.00,1.00,1.00,0,1,0
129.00,4.00,3.00,011011,0.00,1.00,1.00,0.00,1.00,1.00,0,1,0
164.00,4.00,5.50,011011,0.00,1.00,1.00,0.00,1.00,1.00,0,0,1
60.00,3.00,5.50,011100,0.00,1.00,1.00,1.00,0.00,0.00,1,0,0
68.00,2.00,2.00,011100,0.00,1.00,1.00,1.00,0.00,0.00,0,1,0
69.00,2.00,5.00,011100,0.00,1.00,1.00,1.00,0.00,0.00,0,1,0
106.00,3.00,3.50,011100,0.00,1.00,1.00,1.00,0.00,0.00,0,1,0
139.00,2.00,1.00,011100,0.00,1.00,1.00,1.00,0.00,0.00,0,0,1
5.00,3.00,6.50,011101,0.00,1.00,1.00,1.00,0.00,1.00,1,0,0
18.00,3.00,1.50,011101,0.00,1.00,1.00,1.00,0.00,1.00,1,0,0
26.00,3.00,2.00,011101,0.00,1.00,1.00,1.00,0.00,1.00,1,0,0
42.00,4.00,5.50,011101,0.00,1.00,1.00,1.00,0.00,1.00,1,0,0
62.00,4.00,3.00,011101,0.00,1.00,1.00,1.00,0.00,1.00,1,0,0
65.00,4.00,7.00,011101,0.00,1.00,1.00,1.00,0.00,1.00,1,0,0
71.00,3.00,5.50,011101,0.00,1.00,1.00,1.00,0.00,1.00,0,1,0
111.00,4.00,6.50,011101,0.00,1.00,1.00,1.00,0.00,1.00,0,1,0
128.00,4.00,2.00,011101,0.00,1.00,1.00,1.00,0.00,1.00,0,1,0
6.00,3.00,3.50,011110,0.00,1.00,1.00,1.00,1.00,0.00,1,0,0
40.00,4.00,1.00,011110,0.00,1.00,1.00,1.00,1.00,0.00,1,0,0
103.00,4.00,5.50,011110,0.00,1.00,1.00,1.00,1.00,0.00,0,1,0
184.00,4.00,6.00,011110,0.00,1.00,1.00,1.00,1.00,0.00,0,0,1
187.00,4.00,2.50,011110,0.00,1.00,1.00,1.00,1.00,0.00,0,0,1
188.00,4.00,5.00,011110,0.00,1.00,1.00,1.00,1.00,0.00,0,0,1
59.00,5.00,3.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,1,0,0
63.00,5.00,7.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,1,0,0
104.00,5.00,4.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,1,0
109.00,5.00,2.50,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,1,0
120.00,5.00,5.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,1,0
121.00,5.00,4.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,1,0
122.00,5.00,7.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,1,0
169.00,5.00,4.50,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,0,1
180.00,5.00,6.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,0,1
183.00,5.00,5.00,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,0,1
186.00,5.00,5.50,011111,0.00,1.00,1.00,1.00,1.00,1.00,0,0,1
22.00,1.00,2.50,101000,1.00,0.00,1.00,0.00,0.00,0.00,1,0,0
81.00,1.00,1.00,101000,1.00,0.00,1.00,0.00,0.00,0.00,0,1,0
102.00,2.00,1.50,101000,1.00,0.00,1.00,0.00,0.00,0.00,0,1,0
143.00,1.00,2.00,101000,1.00,0.00,1.00,0.00,0.00,0.00,0,0,1
7.00,2.00,5.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,1,0,0
13.00,2.00,3.50,101001,1.00,0.00,1.00,0.00,0.00,1.00,1,0,0
28.00,2.00,2.50,101001,1.00,0.00,1.00,0.00,0.00,1.00,1,0,0
58.00,3.00,1.50,101001,1.00,0.00,1.00,0.00,0.00,1.00,1,0,0
76.00,2.00,1.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,0,1,0
119.00,3.00,1.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,0,1,0
135.00,2.00,4.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,0,0,1
151.00,2.00,5.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,0,0,1
152.00,2.00,5.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,0,0,1
156.00,2.00,2.00,101001,1.00,0.00,1.00,0.00,0.00,1.00,0,0,1
4.00,2.00,2.00,101010,1.00,0.00,1.00,0.00,1.00,0.00,1,0,0
115.00,3.00,3.00,101010,1.00,0.00,1.00,0.00,1.00,0.00,0,1,0
140.00,2.00,2.50,101010,1.00,0.00,1.00,0.00,1.00,0.00,0,0,1
144.00,2.00,1.50,101010,1.00,0.00,1.00,0.00,1.00,0.00,0,0,1
159.00,2.00,1.00,101010,1.00,0.00,1.00,0.00,1.00,0.00,0,0,1
24.00,3.00,2.50,101011,1.00,0.00,1.00,0.00,1.00,1.00,1,0,0
35.00,4.00,5.50,101011,1.00,0.00,1.00,0.00,1.00,1.00,1,0,0
57.00,4.00,4.50,101011,1.00,0.00,1.00,0.00,1.00,1.00,1,0,0
73.00,3.00,2.50,101011,1.00,0.00,1.00,0.00,1.00,1.00,0,1,0
174.00,4.00,4.00,101011,1.00,0.00,1.00,0.00,1.00,1.00,0,0,1
3.00,2.00,6.00,101100,1.00,0.00,1.00,1.00,0.00,0.00,1,0,0
21.00,2.00,5.00,101100,1.00,0.00,1.00,1.00,0.00,0.00,1,0,0
96.00,2.00,1.00,101100,1.00,0.00,1.00,1.00,0.00,0.00,0,1,0
108.00,3.00,5.00,101100,1.00,0.00,1.00,1.00,0.00,0.00,0,1,0
112.00,3.00,2.00,101100,1.00,0.00,1.00,1.00,0.00,0.00,0,1,0
153.00,2.00,1.00,101100,1.00,0.00,1.00,1.00,0.00,0.00,0,0,1
8.00,3.00,5.00,101101,1.00,0.00,1.00,1.00,0.00,1.00,1,0,0
25.00,3.00,2.50,101101,1.00,0.00,1.00,1.00,0.00,1.00,1,0,0
77.00,3.00,5.50,101101,1.00,0.00,1.00,1.00,0.00,1.00,0,1,0
79.00,3.00,5.50,101101,1.00,0.00,1.00,1.00,0.00,1.00,0,1,0
84.00,3.00,5.00,101101,1.00,0.00,1.00,1.00,0.00,1.00,0,1,0
85.00,3.00,5.00,101101,1.00,0.00,1.00,1.00,0.00,1.00,0,1,0
91.00,3.00,4.00,101110,1.00,0.00,1.00,1.00,1.00,0.00,0,1,0
141.00,3.00,7.00,101110,1.00,0.00,1.00,1.00,1.00,0.00,0,0,1
176.00,4.00,5.50,101110,1.00,0.00,1.00,1.00,1.00,0.00,0,0,1
70.00,4.00,4.00,101111,1.00,0.00,1.00,1.00,1.00,1.00,0,1,0
72.00,4.00,3.00,101111,1.00,0.00,1.00,1.00,1.00,1.00,0,1,0
110.00,5.00,2.50,101111,1.00,0.00,1.00,1.00,1.00,1.00,0,1,0
127.00,5.00,5.50,101111,1.00,0.00,1.00,1.00,1.00,1.00,0,1,0
145.00,4.00,7.00,101111,1.00,0.00,1.00,1.00,1.00,1.00,0,0,1
147.00,4.00,6.00,101111,1.00,0.00,1.00,1.00,1.00,1.00,0,0,1
86.00,2.00,1.00,111000,1.00,1.00,1.00,0.00,0.00,0.00,0,1,0
113.00,3.00,6.00,111000,1.00,1.00,1.00,0.00,0.00,0.00,0,1,0
117.00,3.00,1.00,111000,1.00,1.00,1.00,0.00,0.00,0.00,0,1,0
130.00,3.00,1.00,111000,1.00,1.00,1.00,0.00,0.00,0.00,0,1,0
142.00,2.00,5.00,111000,1.00,1.00,1.00,0.00,0.00,0.00,0,0,1
192.00,3.00,3.50,111000,1.00,1.00,1.00,0.00,0.00,0.00,0,0,1
49.00,4.00,3.00,111001,1.00,1.00,1.00,0.00,0.00,1.00,1,0,0
83.00,3.00,5.00,111001,1.00,1.00,1.00,0.00,0.00,1.00,0,1,0
95.00,3.00,5.00,111001,1.00,1.00,1.00,0.00,0.00,1.00,0,1,0
125.00,4.00,5.00,111001,1.00,1.00,1.00,0.00,0.00,1.00,0,1,0
172.00,4.00,2.00,111001,1.00,1.00,1.00,0.00,0.00,1.00,0,0,1
98.00,3.00,1.00,111010,1.00,1.00,1.00,0.00,1.00,0.00,0,1,0
114.00,4.00,3.00,111010,1.00,1.00,1.00,0.00,1.00,0.00,0,1,0
166.00,4.00,3.50,111010,1.00,1.00,1.00,0.00,1.00,0.00,0,0,1
39.00,5.00,1.00,111011,1.00,1.00,1.00,0.00,1.00,1.00,1,0,0
48.00,5.00,2.00,111011,1.00,1.00,1.00,0.00,1.00,1.00,1,0,0
50.00,5.00,3.50,111011,1.00,1.00,1.00,0.00,1.00,1.00,1,0,0
56.00,5.00,1.00,111011,1.00,1.00,1.00,0.00,1.00,1.00,1,0,0
61.00,5.00,4.00,111011,1.00,1.00,1.00,0.00,1.00,1.00,1,0,0
124.00,5.00,6.00,111011,1.00,1.00,1.00,0.00,1.00,1.00,0,1,0
131.00,5.00,6.00,111011,1.00,1.00,1.00,0.00,1.00,1.00,0,1,0
16.00,3.00,1.00,111100,1.00,1.00,1.00,1.00,0.00,0.00,1,0,0
23.00,3.00,5.00,111100,1.00,1.00,1.00,1.00,0.00,0.00,1,0,0
75.00,3.00,2.50,111100,1.00,1.00,1.00,1.00,0.00,0.00,0,1,0
99.00,3.00,3.00,111100,1.00,1.00,1.00,1.00,0.00,0.00,0,1,0
150.00,3.00,2.00,111100,1.00,1.00,1.00,1.00,0.00,0.00,0,0,1
190.00,4.00,3.50,111100,1.00,1.00,1.00,1.00,0.00,0.00,0,0,1
9.00,4.00,5.50,111101,1.00,1.00,1.00,1.00,0.00,1.00,1,0,0
43.00,5.00,3.50,111101,1.00,1.00,1.00,1.00,0.00,1.00,1,0,0
55.00,5.00,3.00,111101,1.00,1.00,1.00,1.00,0.00,1.00,1,0,0
137.00,4.00,4.50,111101,1.00,1.00,1.00,1.00,0.00,1.00,0,0,1
157.00,4.00,5.00,111101,1.00,1.00,1.00,1.00,0.00,1.00,0,0,1
173.00,5.00,5.50,111101,1.00,1.00,1.00,1.00,0.00,1.00,0,0,1
31.00,4.00,2.00,111110,1.00,1.00,1.00,1.00,1.00,0.00,1,0,0
34.00,5.00,1.00,111110,1.00,1.00,1.00,1.00,1.00,0.00,1,0,0
47.00,5.00,3.50,111110,1.00,1.00,1.00,1.00,1.00,0.00,1,0,0
53.00,5.00,2.50,111110,1.00,1.00,1.00,1.00,1.00,0.00,1,0,0
89.00,4.00,2.00,111110,1.00,1.00,1.00,1.00,1.00,0.00,0,1,0
134.00,4.00,5.00,111110,1.00,1.00,1.00,1.00,1.00,0.00,0,0,1
170.00,5.00,2.50,111110,1.00,1.00,1.00,1.00,1.00,0.00,0,0,1
179.00,5.00,3.50,111110,1.00,1.00,1.00,1.00,1.00,0.00,0,0,1
20.00,5.00,2.00,111111,1.00,1.00,1.00,1.00,1.00,1.00,1,0,0
30.00,5.00,3.00,111111,1.00,1.00,1.00,1.00,1.00,1.00,1,0,0
45.00,6.00,5.00,111111,1.00,1.00,1.00,1.00,1.00,1.00,1,0,0
46.00,6.00,1.00,111111,1.00,1.00,1.00,1.00,1.00,1.00,1,0,0
