ID,Desired_closeness_to_CA,Threat_to_relational_value_from_CA,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Sum_of_risk_factors,Average_anxiety
1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.00
2,0,0.00,0.00,1.00,0.00,0.00,2.0,2.50
3,0,1.00,0.00,1.00,0.00,0.00,3.0,6.00
4,0,1.00,0.00,0.00,1.00,0.00,3.0,2.00
5,0,0.00,1.00,1.00,0.00,1.00,4.0,6.50
6,0,0.00,1.00,1.00,1.00,0.00,4.0,3.50
7,0,1.00,0.00,0.00,0.00,1.00,3.0,5.00
8,0,1.00,0.00,1.00,0.00,1.00,4.0,5.00
9,0,1.00,1.00,1.00,0.00,1.00,5.0,5.50
10,0,0.00,1.00,0.00,0.00,0.00,2.0,5.00
11,0,0.00,0.00,0.00,0.00,0.00,1.0,2.00
12,0,0.00,1.00,0.00,1.00,1.00,4.0,5.50
13,0,1.00,0.00,0.00,0.00,1.00,3.0,3.50
14,0,0.00,0.00,1.00,1.00,0.00,3.0,4.50
15,0,0.00,0.00,1.00,1.00,0.00,3.0,4.00
16,0,1.00,1.00,1.00,0.00,0.00,4.0,1.00
17,0,0.00,0.00,1.00,0.00,0.00,2.0,1.00
18,0,0.00,1.00,1.00,0.00,1.00,4.0,1.50
19,0,0.00,1.00,0.00,1.00,0.00,3.0,3.00
20,0,1.00,1.00,1.00,1.00,1.00,6.0,2.00
21,0,1.00,0.00,1.00,0.00,0.00,3.0,5.00
22,0,1.00,0.00,0.00,0.00,0.00,2.0,2.50
23,0,1.00,1.00,1.00,0.00,0.00,4.0,5.00
24,0,1.00,0.00,0.00,1.00,1.00,4.0,2.50
25,0,1.00,0.00,1.00,0.00,1.00,4.0,2.50
26,0,0.00,1.00,1.00,0.00,1.00,4.0,2.00
27,0,0.00,0.00,1.00,1.00,0.00,3.0,4.00
28,0,1.00,0.00,0.00,0.00,1.00,3.0,2.50
29,0,0.00,0.00,1.00,0.00,0.00,2.0,2.00
30,0,1.00,1.00,1.00,1.00,1.00,6.0,3.00
31,0,1.00,1.00,1.00,1.00,0.00,5.0,2.00
32,1,0.00,1.00,0.00,0.00,1.00,3.0,5.50
33,1,0.00,0.00,1.00,0.00,1.00,3.0,1.50
34,1,1.00,1.00,1.00,1.00,0.00,5.0,1.00
35,1,1.00,0.00,0.00,1.00,1.00,4.0,5.50
36,1,0.00,1.00,0.00,1.00,1.00,4.0,1.50
37,1,0.00,1.00,0.00,1.00,1.00,4.0,3.50
38,1,0.00,0.00,1.00,1.00,0.00,3.0,2.00
39,1,1.00,1.00,0.00,1.00,1.00,5.0,1.00
40,1,0.00,1.00,1.00,1.00,0.00,4.0,1.00
41,1,0.00,1.00,0.00,1.00,1.00,4.0,4.00
42,1,0.00,1.00,1.00,0.00,1.00,4.0,5.50
43,1,1.00,1.00,1.00,0.00,1.00,5.0,3.50
44,1,0.00,0.00,1.00,1.00,1.00,4.0,7.00
45,1,1.00,1.00,1.00,1.00,1.00,6.0,5.00
46,1,1.00,1.00,1.00,1.00,1.00,6.0,1.00
47,1,1.00,1.00,1.00,1.00,0.00,5.0,3.50
48,1,1.00,1.00,0.00,1.00,1.00,5.0,2.00
49,1,1.00,1.00,0.00,0.00,1.00,4.0,3.00
50,1,1.00,1.00,0.00,1.00,1.00,5.0,3.50
51,1,0.00,1.00,0.00,1.00,1.00,4.0,2.00
52,1,1.00,1.00,1.00,1.00,1.00,6.0,6.00
53,1,1.00,1.00,1.00,1.00,0.00,5.0,2.50
54,1,1.00,1.00,1.00,1.00,1.00,6.0,1.00
55,1,1.00,1.00,1.00,0.00,1.00,5.0,3.00
56,1,1.00,1.00,0.00,1.00,1.00,5.0,1.00
57,1,1.00,0.00,0.00,1.00,1.00,4.0,4.50
58,1,1.00,0.00,0.00,0.00,1.00,3.0,1.50
59,1,0.00,1.00,1.00,1.00,1.00,5.0,3.00
60,1,0.00,1.00,1.00,0.00,0.00,3.0,5.50
61,1,1.00,1.00,0.00,1.00,1.00,5.0,4.00
62,1,0.00,1.00,1.00,0.00,1.00,4.0,3.00
63,1,0.00,1.00,1.00,1.00,1.00,5.0,7.00
64,1,1.00,1.00,1.00,1.00,1.00,6.0,5.50
65,1,0.00,1.00,1.00,0.00,1.00,4.0,7.00
66,1,0.00,1.00,0.00,1.00,0.00,3.0,5.50
67,0,1.00,1.00,1.00,1.00,1.00,6.0,2.00
68,0,0.00,1.00,1.00,0.00,0.00,3.0,2.00
69,0,0.00,1.00,1.00,0.00,0.00,3.0,5.00
70,0,1.00,0.00,1.00,1.00,1.00,5.0,4.00
71,0,0.00,1.00,1.00,0.00,1.00,4.0,5.50
72,0,1.00,0.00,1.00,1.00,1.00,5.0,3.00
73,0,1.00,0.00,0.00,1.00,1.00,4.0,2.50
74,0,0.00,0.00,1.00,1.00,0.00,3.0,4.00
75,0,1.00,1.00,1.00,0.00,0.00,4.0,2.50
76,0,1.00,0.00,0.00,0.00,1.00,3.0,1.00
77,0,1.00,0.00,1.00,0.00,1.00,4.0,5.50
78,0,0.00,1.00,0.00,0.00,1.00,3.0,4.00
79,0,1.00,0.00,1.00,0.00,1.00,4.0,5.50
80,0,0.00,0.00,0.00,0.00,1.00,2.0,1.50
81,0,1.00,0.00,0.00,0.00,0.00,2.0,1.00
82,0,0.00,0.00,1.00,0.00,0.00,2.0,4.00
83,0,1.00,1.00,0.00,0.00,1.00,4.0,5.00
84,0,1.00,0.00,1.00,0.00,1.00,4.0,5.00
85,0,1.00,0.00,1.00,0.00,1.00,4.0,5.00
86,0,1.00,1.00,0.00,0.00,0.00,3.0,1.00
87,0,0.00,0.00,0.00,0.00,0.00,1.0,1.00
88,0,0.00,0.00,0.00,1.00,0.00,2.0,6.00
89,0,1.00,1.00,1.00,1.00,0.00,5.0,2.00
90,0,0.00,1.00,0.00,0.00,1.00,3.0,5.50
91,0,1.00,0.00,1.00,1.00,0.00,4.0,4.00
92,0,0.00,0.00,0.00,1.00,0.00,2.0,5.00
93,0,0.00,0.00,1.00,1.00,1.00,4.0,4.50
94,0,0.00,1.00,0.00,0.00,0.00,2.0,6.00
95,0,1.00,1.00,0.00,0.00,1.00,4.0,5.00
96,0,1.00,0.00,1.00,0.00,0.00,3.0,1.00
97,0,0.00,0.00,1.00,0.00,0.00,2.0,3.50
98,0,1.00,1.00,0.00,1.00,0.00,4.0,1.00
99,0,1.00,1.00,1.00,0.00,0.00,4.0,3.00
100,0,1.00,1.00,1.00,1.00,1.00,6.0,2.00
101,0,0.00,0.00,0.00,1.00,1.00,3.0,6.00
102,1,1.00,0.00,0.00,0.00,0.00,2.0,1.50
103,1,0.00,1.00,1.00,1.00,0.00,4.0,5.50
104,1,0.00,1.00,1.00,1.00,1.00,5.0,4.00
105,1,0.00,1.00,0.00,1.00,1.00,4.0,5.50
106,1,0.00,1.00,1.00,0.00,0.00,3.0,3.50
107,1,0.00,1.00,0.00,0.00,1.00,3.0,2.00
108,1,1.00,0.00,1.00,0.00,0.00,3.0,5.00
109,1,0.00,1.00,1.00,1.00,1.00,5.0,2.50
110,1,1.00,0.00,1.00,1.00,1.00,5.0,2.50
111,1,0.00,1.00,1.00,0.00,1.00,4.0,6.50
112,1,1.00,0.00,1.00,0.00,0.00,3.0,2.00
113,1,1.00,1.00,0.00,0.00,0.00,3.0,6.00
114,1,1.00,1.00,0.00,1.00,0.00,4.0,3.00
115,1,1.00,0.00,0.00,1.00,0.00,3.0,3.00
116,1,1.00,1.00,1.00,1.00,1.00,6.0,7.00
117,1,1.00,1.00,0.00,0.00,0.00,3.0,1.00
118,1,0.00,1.00,0.00,1.00,1.00,4.0,1.00
119,1,1.00,0.00,0.00,0.00,1.00,3.0,1.00
120,1,0.00,1.00,1.00,1.00,1.00,5.0,5.00
121,1,0.00,1.00,1.00,1.00,1.00,5.0,4.00
122,1,0.00,1.00,1.00,1.00,1.00,5.0,7.00
123,1,1.00,1.00,1.00,1.00,1.00,6.0,1.00
124,1,1.00,1.00,0.00,1.00,1.00,5.0,6.00
125,1,1.00,1.00,0.00,0.00,1.00,4.0,5.00
126,1,0.00,1.00,0.00,0.00,0.00,2.0,3.50
127,1,1.00,0.00,1.00,1.00,1.00,5.0,5.50
128,1,0.00,1.00,1.00,0.00,1.00,4.0,2.00
129,1,0.00,1.00,0.00,1.00,1.00,4.0,3.00
130,1,1.00,1.00,0.00,0.00,0.00,3.0,1.00
131,1,1.00,1.00,0.00,1.00,1.00,5.0,6.00
132,1,1.00,1.00,1.00,1.00,1.00,6.0,1.00
133,0,0.00,0.00,1.00,0.00,1.00,3.0,4.50
134,0,1.00,1.00,1.00,1.00,0.00,5.0,5.00
135,0,1.00,0.00,0.00,0.00,1.00,3.0,4.00
136,0,0.00,0.00,0.00,0.00,0.00,1.0,4.00
137,0,1.00,1.00,1.00,0.00,1.00,5.0,4.50
138,0,0.00,0.00,0.00,0.00,1.00,2.0,1.50
139,0,0.00,1.00,1.00,0.00,0.00,3.0,1.00
140,0,1.00,0.00,0.00,1.00,0.00,3.0,2.50
141,0,1.00,0.00,1.00,1.00,0.00,4.0,7.00
142,0,1.00,1.00,0.00,0.00,0.00,3.0,5.00
143,0,1.00,0.00,0.00,0.00,0.00,2.0,2.00
144,0,1.00,0.00,0.00,1.00,0.00,3.0,1.50
145,0,1.00,0.00,1.00,1.00,1.00,5.0,7.00
146,0,0.00,1.00,0.00,1.00,0.00,3.0,1.00
147,0,1.00,0.00,1.00,1.00,1.00,5.0,6.00
148,0,0.00,0.00,0.00,1.00,0.00,2.0,2.00
149,0,1.00,1.00,1.00,1.00,1.00,6.0,5.50
150,0,1.00,1.00,1.00,0.00,0.00,4.0,2.00
151,0,1.00,0.00,0.00,0.00,1.00,3.0,5.00
152,0,1.00,0.00,0.00,0.00,1.00,3.0,5.00
153,0,1.00,0.00,1.00,0.00,0.00,3.0,1.00
154,0,0.00,0.00,1.00,1.00,1.00,4.0,3.00
155,0,0.00,0.00,1.00,1.00,0.00,3.0,2.50
156,0,1.00,0.00,0.00,0.00,1.00,3.0,2.00
157,0,1.00,1.00,1.00,0.00,1.00,5.0,5.00
158,0,0.00,0.00,1.00,0.00,1.00,3.0,6.00
159,0,1.00,0.00,0.00,1.00,0.00,3.0,1.00
160,0,0.00,1.00,0.00,1.00,0.00,3.0,1.00
