ID,Desired_closeness_to_CA,Threat_to_relational_value_from_CA,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Sum_of_risk_factors,Average_anxiety
1,0,0,0,0,0,0,0,1
2,0,0,0,1,0,0,1,2.5
3,0,1,0,1,0,0,2,6
4,0,1,0,0,1,0,2,2
5,0,0,1,1,0,1,3,6.5
6,0,0,1,1,1,0,3,3.5
7,0,1,0,0,0,1,2,5
8,0,1,0,1,0,1,3,5
9,0,1,1,1,0,1,4,5.5
10,0,0,1,0,0,0,1,5
11,0,0,0,0,0,0,0,2
12,0,0,1,0,1,1,3,5.5
13,0,1,0,0,0,1,2,3.5
14,0,0,0,1,1,0,2,4.5
15,0,0,0,1,1,0,2,4
16,0,1,1,1,0,0,3,1
17,0,0,0,1,0,0,1,1
18,0,0,1,1,0,1,3,1.5
19,0,0,1,0,1,0,2,3
20,0,1,1,1,1,1,5,2
21,0,1,0,1,0,0,2,5
22,0,1,0,0,0,0,1,2.5
23,0,1,1,1,0,0,3,5
24,0,1,0,0,1,1,3,2.5
25,0,1,0,1,0,1,3,2.5
26,0,0,1,1,0,1,3,2
27,0,0,0,1,1,0,2,4
28,0,1,0,0,0,1,2,2.5
29,0,0,0,1,0,0,1,2
30,0,1,1,1,1,1,5,3
31,0,1,1,1,1,0,4,2
32,1,0,1,0,0,1,3,5.5
33,1,0,0,1,0,1,3,1.5
34,1,1,1,1,1,0,5,1
35,1,1,0,0,1,1,4,5.5
36,1,0,1,0,1,1,4,1.5
37,1,0,1,0,1,1,4,3.5
38,1,0,0,1,1,0,3,2
39,1,1,1,0,1,1,5,1
40,1,0,1,1,1,0,4,1
41,1,0,1,0,1,1,4,4
42,1,0,1,1,0,1,4,5.5
43,1,1,1,1,0,1,5,3.5
44,1,0,0,1,1,1,4,7
45,1,1,1,1,1,1,6,5
46,1,1,1,1,1,1,6,1
47,1,1,1,1,1,0,5,3.5
48,1,1,1,0,1,1,5,2
49,1,1,1,0,0,1,4,3
50,1,1,1,0,1,1,5,3.5
51,1,0,1,0,1,1,4,2
52,1,1,1,1,1,1,6,6
53,1,1,1,1,1,0,5,2.5
54,1,1,1,1,1,1,6,1
55,1,1,1,1,0,1,5,3
56,1,1,1,0,1,1,5,1
57,1,1,0,0,1,1,4,4.5
58,1,1,0,0,0,1,3,1.5
59,1,0,1,1,1,1,5,3
60,1,0,1,1,0,0,3,5.5
61,1,1,1,0,1,1,5,4
62,1,0,1,1,0,1,4,3
63,1,0,1,1,1,1,5,7
64,1,1,1,1,1,1,6,5.5
65,1,0,1,1,0,1,4,7
66,1,0,1,0,1,0,3,5.5
67,0,1,1,1,1,1,5,2
68,0,0,1,1,0,0,2,2
69,0,0,1,1,0,0,2,5
70,0,1,0,1,1,1,4,4
71,0,0,1,1,0,1,3,5.5
72,0,1,0,1,1,1,4,3
73,0,1,0,0,1,1,3,2.5
74,0,0,0,1,1,0,2,4
75,0,1,1,1,0,0,3,2.5
76,0,1,0,0,0,1,2,1
77,0,1,0,1,0,1,3,5.5
78,0,0,1,0,0,1,2,4
79,0,1,0,1,0,1,3,5.5
80,0,0,0,0,0,1,1,1.5
81,0,1,0,0,0,0,1,1
82,0,0,0,1,0,0,1,4
83,0,1,1,0,0,1,3,5
84,0,1,0,1,0,1,3,5
85,0,1,0,1,0,1,3,5
86,0,1,1,0,0,0,2,1
87,0,0,0,0,0,0,0,1
88,0,0,0,0,1,0,1,6
89,0,1,1,1,1,0,4,2
90,0,0,1,0,0,1,2,5.5
91,0,1,0,1,1,0,3,4
92,0,0,0,0,1,0,1,5
93,0,0,0,1,1,1,3,4.5
94,0,0,1,0,0,0,1,6
95,0,1,1,0,0,1,3,5
96,0,1,0,1,0,0,2,1
97,0,0,0,1,0,0,1,3.5
98,0,1,1,0,1,0,3,1
99,0,1,1,1,0,0,3,3
100,0,1,1,1,1,1,5,2
101,0,0,0,0,1,1,2,6
102,1,1,0,0,0,0,2,1.5
103,1,0,1,1,1,0,4,5.5
104,1,0,1,1,1,1,5,4
105,1,0,1,0,1,1,4,5.5
106,1,0,1,1,0,0,3,3.5
107,1,0,1,0,0,1,3,2
108,1,1,0,1,0,0,3,5
109,1,0,1,1,1,1,5,2.5
110,1,1,0,1,1,1,5,2.5
111,1,0,1,1,0,1,4,6.5
112,1,1,0,1,0,0,3,2
113,1,1,1,0,0,0,3,6
114,1,1,1,0,1,0,4,3
115,1,1,0,0,1,0,3,3
116,1,1,1,1,1,1,6,7
117,1,1,1,0,0,0,3,1
118,1,0,1,0,1,1,4,1
119,1,1,0,0,0,1,3,1
120,1,0,1,1,1,1,5,5
121,1,0,1,1,1,1,5,4
122,1,0,1,1,1,1,5,7
123,1,1,1,1,1,1,6,1
124,1,1,1,0,1,1,5,6
125,1,1,1,0,0,1,4,5
126,1,0,1,0,0,0,2,3.5
127,1,1,0,1,1,1,5,5.5
128,1,0,1,1,0,1,4,2
129,1,0,1,0,1,1,4,3
130,1,1,1,0,0,0,3,1
131,1,1,1,0,1,1,5,6
132,1,1,1,1,1,1,6,1
133,0,0,0,1,0,1,2,4.5
134,0,1,1,1,1,0,4,5
135,0,1,0,0,0,1,2,4
136,0,0,0,0,0,0,0,4
137,0,1,1,1,0,1,4,4.5
138,0,0,0,0,0,1,1,1.5
139,0,0,1,1,0,0,2,1
140,0,1,0,0,1,0,2,2.5
141,0,1,0,1,1,0,3,7
142,0,1,1,0,0,0,2,5
143,0,1,0,0,0,0,1,2
144,0,1,0,0,1,0,2,1.5
145,0,1,0,1,1,1,4,7
146,0,0,1,0,1,0,2,1
147,0,1,0,1,1,1,4,6
148,0,0,0,0,1,0,1,2
149,0,1,1,1,1,1,5,5.5
150,0,1,1,1,0,0,3,2
151,0,1,0,0,0,1,2,5
152,0,1,0,0,0,1,2,5
153,0,1,0,1,0,0,2,1
154,0,0,0,1,1,1,3,3
155,0,0,0,1,1,0,2,2.5
156,0,1,0,0,0,1,2,2
157,0,1,1,1,0,1,4,5
158,0,0,0,1,0,1,2,6
159,0,1,0,0,1,0,2,1
160,0,0,1,0,1,0,2,1
161,1,0,0,1,1,0,3,5
162,1,1,1,1,1,1,6,7
163,1,0,0,0,0,1,2,5
164,1,0,1,0,1,1,4,5.5
165,1,1,1,1,1,1,6,5
166,1,1,1,0,1,0,4,3.5
167,1,0,0,0,1,1,3,2.5
168,1,1,1,1,1,1,6,6
169,1,0,1,1,1,1,5,4.5
170,1,1,1,1,1,0,5,2.5
171,1,0,0,1,0,0,2,5
172,1,1,1,0,0,1,4,2
173,1,1,1,1,0,1,5,5.5
174,1,1,0,0,1,1,4,4
175,1,1,1,1,1,1,6,5
176,1,1,0,1,1,0,4,5.5
177,1,1,1,1,1,1,6,4
178,1,0,1,0,1,0,3,5
179,1,1,1,1,1,0,5,3.5
180,1,0,1,1,1,1,5,6
181,1,1,1,1,1,1,6,6
182,1,0,0,1,1,1,4,1
183,1,0,1,1,1,1,5,5
184,1,0,1,1,1,0,4,6
185,1,1,1,1,1,1,6,4.5
186,1,0,1,1,1,1,5,5.5
187,1,0,1,1,1,0,4,2.5
188,1,0,1,1,1,0,4,5
189,1,0,1,0,0,0,2,5.5
190,1,1,1,1,0,0,4,3.5
191,1,0,1,0,0,1,3,5.5
192,1,1,1,0,0,0,3,3.5
193,1,0,1,0,1,0,3,1
