ID,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Desired_closeness_to_CA,Threat_CA,Sum_of_risk_factors,Average_anxiety
1,0.00,0.00,0.00,0.00,0.00,0,0.00,1.00
2,0.00,1.00,0.00,0.00,0.00,0,1.00,2.50
3,0.00,1.00,0.00,0.00,0.00,1,2.00,6.00
4,0.00,0.00,1.00,0.00,0.00,1,2.00,2.00
5,1.00,1.00,0.00,1.00,0.00,0,3.00,6.50
6,1.00,1.00,1.00,0.00,0.00,0,3.00,3.50
7,0.00,0.00,0.00,1.00,0.00,1,2.00,5.00
8,0.00,1.00,0.00,1.00,0.00,1,3.00,5.00
9,1.00,1.00,0.00,1.00,0.00,1,4.00,5.50
10,1.00,0.00,0.00,0.00,0.00,0,1.00,5.00
11,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00
12,1.00,0.00,1.00,1.00,0.00,0,3.00,5.50
13,0.00,0.00,0.00,1.00,0.00,1,2.00,3.50
14,0.00,1.00,1.00,0.00,0.00,0,2.00,4.50
15,0.00,1.00,1.00,0.00,0.00,0,2.00,4.00
16,1.00,1.00,0.00,0.00,0.00,1,3.00,1.00
17,0.00,1.00,0.00,0.00,0.00,0,1.00,1.00
18,1.00,1.00,0.00,1.00,0.00,0,3.00,1.50
19,1.00,0.00,1.00,0.00,0.00,0,2.00,3.00
20,1.00,1.00,1.00,1.00,0.00,1,5.00,2.00
21,0.00,1.00,0.00,0.00,0.00,1,2.00,5.00
22,0.00,0.00,0.00,0.00,0.00,1,1.00,2.50
23,1.00,1.00,0.00,0.00,0.00,1,3.00,5.00
24,0.00,0.00,1.00,1.00,0.00,1,3.00,2.50
25,0.00,1.00,0.00,1.00,0.00,1,3.00,2.50
26,1.00,1.00,0.00,1.00,0.00,0,3.00,2.00
27,0.00,1.00,1.00,0.00,0.00,0,2.00,4.00
28,0.00,0.00,0.00,1.00,0.00,1,2.00,2.50
29,0.00,1.00,0.00,0.00,0.00,0,1.00,2.00
30,1.00,1.00,1.00,1.00,0.00,1,5.00,3.00
31,1.00,1.00,1.00,0.00,0.00,1,4.00,2.00
32,1.00,0.00,0.00,1.00,1.00,0,3.00,5.50
33,0.00,1.00,0.00,1.00,1.00,0,3.00,1.50
34,1.00,1.00,1.00,0.00,1.00,1,5.00,1.00
35,0.00,0.00,1.00,1.00,1.00,1,4.00,5.50
36,1.00,0.00,1.00,1.00,1.00,0,4.00,1.50
37,1.00,0.00,1.00,1.00,1.00,0,4.00,3.50
38,0.00,1.00,1.00,0.00,1.00,0,3.00,2.00
39,1.00,0.00,1.00,1.00,1.00,1,5.00,1.00
40,1.00,1.00,1.00,0.00,1.00,0,4.00,1.00
41,1.00,0.00,1.00,1.00,1.00,0,4.00,4.00
42,1.00,1.00,0.00,1.00,1.00,0,4.00,5.50
43,1.00,1.00,0.00,1.00,1.00,1,5.00,3.50
44,0.00,1.00,1.00,1.00,1.00,0,4.00,7.00
45,1.00,1.00,1.00,1.00,1.00,1,6.00,5.00
46,1.00,1.00,1.00,1.00,1.00,1,6.00,1.00
47,1.00,1.00,1.00,0.00,1.00,1,5.00,3.50
48,1.00,0.00,1.00,1.00,1.00,1,5.00,2.00
49,1.00,0.00,0.00,1.00,1.00,1,4.00,3.00
50,1.00,0.00,1.00,1.00,1.00,1,5.00,3.50
51,1.00,0.00,1.00,1.00,1.00,0,4.00,2.00
52,1.00,1.00,1.00,1.00,1.00,1,6.00,6.00
53,1.00,1.00,1.00,0.00,1.00,1,5.00,2.50
54,1.00,1.00,1.00,1.00,1.00,1,6.00,1.00
55,1.00,1.00,0.00,1.00,1.00,1,5.00,3.00
56,1.00,0.00,1.00,1.00,1.00,1,5.00,1.00
57,0.00,0.00,1.00,1.00,1.00,1,4.00,4.50
58,0.00,0.00,0.00,1.00,1.00,1,3.00,1.50
59,1.00,1.00,1.00,1.00,1.00,0,5.00,3.00
60,1.00,1.00,0.00,0.00,1.00,0,3.00,5.50
61,1.00,0.00,1.00,1.00,1.00,1,5.00,4.00
62,1.00,1.00,0.00,1.00,1.00,0,4.00,3.00
63,1.00,1.00,1.00,1.00,1.00,0,5.00,7.00
64,1.00,1.00,1.00,1.00,1.00,1,6.00,5.50
65,1.00,1.00,0.00,1.00,1.00,0,4.00,7.00
66,1.00,0.00,1.00,0.00,1.00,0,3.00,5.50
67,1.00,1.00,1.00,1.00,0.00,1,5.00,2.00
68,1.00,1.00,0.00,0.00,0.00,0,2.00,2.00
69,1.00,1.00,0.00,0.00,0.00,0,2.00,5.00
70,0.00,1.00,1.00,1.00,0.00,1,4.00,4.00
71,1.00,1.00,0.00,1.00,0.00,0,3.00,5.50
72,0.00,1.00,1.00,1.00,0.00,1,4.00,3.00
73,0.00,0.00,1.00,1.00,0.00,1,3.00,2.50
74,0.00,1.00,1.00,0.00,0.00,0,2.00,4.00
75,1.00,1.00,0.00,0.00,0.00,1,3.00,2.50
76,0.00,0.00,0.00,1.00,0.00,1,2.00,1.00
77,0.00,1.00,0.00,1.00,0.00,1,3.00,5.50
78,1.00,0.00,0.00,1.00,0.00,0,2.00,4.00
79,0.00,1.00,0.00,1.00,0.00,1,3.00,5.50
80,0.00,0.00,0.00,1.00,0.00,0,1.00,1.50
81,0.00,0.00,0.00,0.00,0.00,1,1.00,1.00
82,0.00,1.00,0.00,0.00,0.00,0,1.00,4.00
83,1.00,0.00,0.00,1.00,0.00,1,3.00,5.00
84,0.00,1.00,0.00,1.00,0.00,1,3.00,5.00
85,0.00,1.00,0.00,1.00,0.00,1,3.00,5.00
86,1.00,0.00,0.00,0.00,0.00,1,2.00,1.00
87,0.00,0.00,0.00,0.00,0.00,0,0.00,1.00
