ID,Threat_CA,Thinks_frequently_about_CA,Female,Needs_to_belong,Selfesteem_contingent_on_academics,Average_anxiety
1.00,0.00,0.00,1.00,0.00,1.00,4.50
2.00,1.00,1.00,1.00,1.00,0.00,5.00
3.00,1.00,0.00,0.00,0.00,1.00,4.00
4.00,0.00,0.00,0.00,0.00,0.00,4.00
5.00,1.00,1.00,1.00,0.00,1.00,4.50
6.00,0.00,0.00,0.00,0.00,1.00,1.50
7.00,0.00,1.00,1.00,0.00,0.00,1.00
8.00,1.00,0.00,0.00,1.00,0.00,2.50
9.00,1.00,0.00,1.00,1.00,0.00,7.00
10.00,1.00,1.00,0.00,0.00,0.00,5.00
11.00,1.00,0.00,0.00,0.00,0.00,2.00
12.00,1.00,0.00,0.00,1.00,0.00,1.50
13.00,1.00,0.00,1.00,1.00,1.00,7.00
14.00,0.00,1.00,0.00,1.00,0.00,1.00
15.00,1.00,0.00,1.00,1.00,1.00,6.00
16.00,0.00,0.00,0.00,1.00,0.00,2.00
17.00,1.00,1.00,1.00,1.00,1.00,5.50
18.00,1.00,1.00,1.00,0.00,0.00,2.00
19.00,1.00,0.00,0.00,0.00,1.00,5.00
20.00,1.00,0.00,0.00,0.00,1.00,5.00
21.00,1.00,0.00,1.00,0.00,0.00,1.00
22.00,0.00,0.00,1.00,1.00,1.00,3.00
23.00,0.00,0.00,1.00,1.00,0.00,2.50
24.00,1.00,0.00,0.00,0.00,1.00,2.00
25.00,1.00,1.00,1.00,0.00,1.00,5.00
26.00,0.00,0.00,1.00,0.00,1.00,6.00
27.00,1.00,0.00,0.00,1.00,0.00,1.00
28.00,0.00,1.00,0.00,1.00,0.00,1.00
29.00,0.00,0.00,1.00,1.00,0.00,5.00
30.00,1.00,1.00,1.00,1.00,1.00,7.00
31.00,0.00,0.00,0.00,0.00,1.00,5.00
32.00,0.00,1.00,0.00,1.00,1.00,5.50
33.00,1.00,1.00,1.00,1.00,1.00,5.00
34.00,1.00,1.00,0.00,1.00,0.00,3.50
35.00,0.00,0.00,0.00,1.00,1.00,2.50
36.00,1.00,1.00,1.00,1.00,1.00,6.00
37.00,0.00,1.00,1.00,1.00,1.00,4.50
38.00,1.00,1.00,1.00,1.00,0.00,2.50
39.00,0.00,0.00,1.00,0.00,0.00,5.00
40.00,1.00,1.00,0.00,0.00,1.00,2.00
41.00,1.00,1.00,1.00,0.00,1.00,5.50
42.00,1.00,0.00,0.00,1.00,1.00,4.00
43.00,1.00,1.00,1.00,1.00,1.00,5.00
44.00,1.00,0.00,1.00,1.00,0.00,5.50
45.00,1.00,1.00,1.00,1.00,1.00,4.00
46.00,0.00,1.00,0.00,1.00,0.00,5.00
47.00,1.00,1.00,1.00,1.00,0.00,3.50
48.00,0.00,1.00,1.00,1.00,1.00,6.00
49.00,1.00,1.00,1.00,1.00,1.00,6.00
50.00,0.00,0.00,1.00,1.00,1.00,1.00
51.00,0.00,1.00,1.00,1.00,1.00,5.00
52.00,0.00,1.00,1.00,1.00,0.00,6.00
53.00,1.00,1.00,1.00,1.00,1.00,4.50
54.00,0.00,1.00,1.00,1.00,1.00,5.50
55.00,0.00,1.00,1.00,1.00,0.00,2.50
56.00,0.00,1.00,1.00,1.00,0.00,5.00
57.00,0.00,1.00,0.00,0.00,0.00,5.50
58.00,1.00,1.00,1.00,0.00,0.00,3.50
59.00,0.00,1.00,0.00,0.00,1.00,5.50
60.00,1.00,1.00,0.00,0.00,0.00,3.50
61.00,0.00,1.00,0.00,1.00,0.00,1.00
